Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
10:30p,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,"19,060",2:34,STAPLES Center,
7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,"20,562",2:19,Quicken Loans Arena,
10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,"19,446",2:12,Moda Center,
10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,"19,596",2:18,Oracle Arena,
7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,"17,923",2:47,Bankers Life Fieldhouse,
7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,"19,298",2:19,Amway Center,
7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,"19,800",2:10,Air Canada Centre,
7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,"18,624",2:21,TD Garden,
8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,"18,717",2:18,BMO Harris Bradley Center,
8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,"15,869",2:31,Smoothie King Center,
8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,"18,119",2:30,FedEx Forum,
8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,"20,487",2:32,Wells Fargo Center,
10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,"18,055",2:20,Talking Stick Resort Arena,
10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,"18,997",2:27,STAPLES Center,
7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,"19,049",2:16,Philips Arena,
8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,"21,501",2:31,United Center,
10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,"19,500",2:47,Moda Center,
10:30p,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,"17,608",2:19,Golden 1 Center,
7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,"19,800",2:26,Air Canada Centre,
7:30p,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,"17,732",2:14,Barclays Center,
7:30p,Orlando Magic,82,Detroit Pistons,108,Box Score,,"19,122",1:57,The Palace of Auburn Hills,
8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,"18,203",2:52,Chesapeake Energy Arena,
8:00p,Charlotte Hornets,97,Miami Heat,91,Box Score,,"19,600",2:16,AmericanAirlines Arena,
8:30p,Houston Rockets,106,Dallas Mavericks,98,Box Score,,"20,163",2:14,American Airlines Center,
9:00p,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,"19,911",2:29,Vivint Smart Home Arena,
9:30p,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,"18,217",2:30,Smoothie King Center,
